ngdp00,census_year,Pop_Total,Pop_GenderMale,Pop_GenderFemale,Pop_CitizenshipCitizen,Pop_CitizenshipNon-citizen,Pop_EthnicMalay,Pop_EthnicOtherBumi,Pop_EthnicChinese,Pop_EthnicIndian,Pop_EthnicOther,Pop_AgeGroup0014,Pop_AgeGroup1564,Pop_AgeGroup65++,Pop_MaritalNeverMarried,Pop_MaritalMarried,Pop_MaritalWiddowed,Pop_MaritalDivorcedSeparated,Pop_ReligionIslam,Pop_ReligionChristian,Pop_ReligionBuddha,Pop_ReligionHindu,Pop_ReligionOthers,Pop_ReligionNoReligionUnknown,Pop_StrataUrban,Pop_StrataRural,LandAreaKm2,Pop_Density
0101,1991,294056,145922,148134,290877,3179,132503,1455,103953,5536,47430,102996,176238,14822,102010,108892,12265,1224,184458,3377,78549,4401,20562,2383,96335,197721,1966.31,149.547
0101,2000,336509,170374,166135,328050,8459,213853,2722,105480,5525,470,109112,207499,19898,77343,135002,13904,1148,225280,3639,89968,4723,11748,1151,161508,175001,1966.31,171.137
0101,2010,401902,206220,195682,383391,18511,254078,2641,119361,6443,868,112129,261213,28560,105366,162267,20416,1724,267911,5118,116380,6824,3173,2496,221888,180014,1966.31,204.394
0101,2020,495338,261609,233729,465143,30195,311257,5110,140103,6910,1763,105923,356961,32454,159048,211339,13635,5010,330803,14565,129831,13484,5570,1085,309750,185588,1966.31,251.912
0102,1991,704471,366337,338134,678287,26184,326104,3255,260493,64923,23512,229812,456055,18604,248101,269251,16602,2906,376354,19029,196853,55420,46926,8101,560227,144244,1821.35,386.785
0102,2000,1081978,564466,517512,1017892,64086,505818,15430,387522,101827,7295,327529,727994,26455,289176,436574,23984,4715,577765,35139,336341,90901,28854,12978,985407,96571,1821.35,594.053
0102,2010,1579482,839839,739643,1435789,143693,711584,33420,537903,144236,8646,429098,1094020,56364,443287,652678,46984,7435,806190,70534,522554,146520,9365,24319,1463461,116021,1821.35,867.204
0102,2020,2040688,1085049,955639,1870322,170366,945818,36333,701521,175216,11434,519035,1399638,122015,549245,906294,38808,26908,1064829,85698,657921,193994,18854,19392,1994365,46323,1821.35,1120.426
0103,1991,224424,115871,108553,216660,7764,99086,1108,81761,24671,10034,83945,133331,7148,74984,85021,5886,716,117636,3642,63821,22044,15572,1339,98669,125755,2864.53,78.346
0103,2000,255601,134214,121387,241426,14175,129458,1789,84170,24867,1142,84642,161684,9275,57159,105634,7320,846,144879,3934,71240,22915,11254,1379,149070,106531,2864.53,89.23
0103,2010,288364,160007,128357,253682,34682,138223,3711,86690,24012,1046,74961,196367,17036,75826,124044,12187,1346,162446,5101,86974,24172,2384,7287,174663,113701,2864.53,100.667
0103,2020,323762,179314,144448,289981,33781,166614,4810,92320,24842,1395,75113,229899,18750,83548,148113,13305,3596,193955,6792,91720,28316,1274,1705,225555,98207,2864.53,113.024
0104,1991,174425,90836,83589,167920,6505,132338,789,18903,6142,9748,73555,97247,3623,58265,61952,3173,503,148829,1229,14168,5167,4248,420,24327,150098,3488.55,49.999
