"","state_code","state_name","district_code","district_name","ngdp_code","census_year","Pop_Total","Pop_GenderMale","Pop_GenderFemale","Pop_CitizenshipCitizen","Pop_CitizenshipNon-citizen","AnnualPopGrowthRate_Average","Pop_EthnicMalay","Pop_EthnicOtherBumi","Pop_EthnicChinese","Pop_EthnicIndian","Pop_EthnicOther","Pop_AgeGroup0014","Pop_AgeGroup1564","Pop_AgeGroup65++","Pop_MaritalNeverMarried","Pop_MaritalMarried","Pop_MaritalWiddowed","Pop_MaritalDivorcedSeparated","Pop_ReligionIslam","Pop_ReligionChristian","Pop_ReligionBuddha","Pop_ReligionHindu","Pop_ReligionOthers","Pop_ReligionNoReligionUnknown","LandAreaKm2","Pop_Density","Pop_StrataUrban","Pop_StrataRural"
"1",1,"Johor",1,"Batu Pahat","0101",1970,249596,122454,127142,249596,NA,NA,162801,NA,82116,4485,194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2",1,"Johor",1,"Batu Pahat","0101",1980,274625,134233,140392,274625,NA,0.955629199789393,171498,NA,97637,5301,189,112280,151068,11277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64727,209898
"3",1,"Johor",1,"Batu Pahat","0101",1991,294056,145922,148134,290877,3179,0.683636946860972,132503,1455,103953,5536,47430,102996,176238,14822,102010,108892,12265,1224,184458,3377,78549,4401,20562,2383,NA,NA,96335,197721
"4",1,"Johor",1,"Batu Pahat","0101",2000,336509,170374,166135,328050,8459,1.34854669250064,213853,2722,105480,5525,470,109112,207499,19898,77343,135002,13904,1148,225280,3639,89968,4723,11748,1151,NA,NA,161508,175001
"5",1,"Johor",1,"Batu Pahat","0101",2010,401902,206220,195682,383391,18511,1.77583383164117,254078,2641,119361,6443,868,112129,261213,28560,105366,162267,20416,1724,267911,5118,116380,6824,3173,2496,NA,NA,221888,180014
"6",1,"Johor",1,"Batu Pahat","0101",2020,495338,261609,233729,465143,30195,2.09032080025304,311257,5110,140103,6910,1763,105923,356961,32454,159048,211339,13635,5010,330803,14565,129831,13484,5570,1085,1966.31,251.912465481028,309750,185588
"7",1,"Johor",2,"Johor Bahru","0102",1970,267913,136870,131043,267913,NA,NA,122373,NA,112017,29212,4311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8",1,"Johor",2,"Johor Bahru","0102",1980,406871,208189,198682,406871,NA,4.17833880942845,206085,NA,161615,37956,1215,149163,244479,13229,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270022,136849
"9",1,"Johor",2,"Johor Bahru","0102",1991,704471,366337,338134,678287,26184,5.48950984660093,326104,3255,260493,64923,23512,229812,456055,18604,248101,269251,16602,2906,376354,19029,196853,55420,46926,8101,NA,NA,560227,144244
"10",1,"Johor",2,"Johor Bahru","0102",2000,1081978,564466,517512,1017892,64086,4.29098959937109,505818,15430,387522,101827,7295,327529,727994,26455,289176,436574,23984,4715,577765,35139,336341,90901,28854,12978,NA,NA,985407,96571
