state_code,state_name,district_code,district_name,ngdp_code,parameter,census_1970,census_1980,census_1991,census_2000,census_2010,census_2020
1,Johor,1,Batu Pahat,0101,Pop_GenderTotal,249596,274625,294056,336509,401902,495338
1,Johor,1,Batu Pahat,0101,Pop_GenderMale,122454,134233,145922,170374,206220,261609
1,Johor,1,Batu Pahat,0101,Pop_GenderFemale,127142,140392,148134,166135,195682,233729
1,Johor,1,Batu Pahat,0101,Pop_CitizenshipCitizen,249596,274625,290877,328050,383391,465143
1,Johor,1,Batu Pahat,0101,Pop_CitizenshipNon-citizen,..,..,3179,8459,18511,30195
1,Johor,1,Batu Pahat,0101,AnnualPopGrowthRate_Average,..,0.95562919978939265,0.68363694686097209,1.3485466925006415,1.7758338316411684,2.0903208002530373
1,Johor,1,Batu Pahat,0101,Pop_EthnicMalay,162801,171498,132503,213853,254078,311257
1,Johor,1,Batu Pahat,0101,Pop_EthnicOtherBumi,..,..,1455,2722,2641,5110
1,Johor,1,Batu Pahat,0101,Pop_EthnicChinese,82116,97637,103953,105480,119361,140103
1,Johor,1,Batu Pahat,0101,Pop_EthnicIndian,4485,5301,5536,5525,6443,6910
1,Johor,1,Batu Pahat,0101,Pop_EthnicOther,194,189,47430,470,868,1763
1,Johor,1,Batu Pahat,0101,Pop_AgeGroup0014,..,112280,102996,109112,112129,105923
1,Johor,1,Batu Pahat,0101,Pop_AgeGroup1564,..,151068,176238,207499,261213,356961
1,Johor,1,Batu Pahat,0101,Pop_AgeGroup65++,..,11277,14822,19898,28560,32454
1,Johor,1,Batu Pahat,0101,Pop_MaritalNeverMarried,..,..,102010,77343,105366,159048
1,Johor,1,Batu Pahat,0101,Pop_MaritalMarried,..,..,108892,135002,162267,211339
1,Johor,1,Batu Pahat,0101,Pop_MaritalWiddowed,..,..,12265,13904,20416,13635
1,Johor,1,Batu Pahat,0101,Pop_MaritalDivorcedSeparated,..,..,1224,1148,1724,5010
1,Johor,1,Batu Pahat,0101,Pop_ReligionIslam,..,..,184458,225280,267911,330803
1,Johor,1,Batu Pahat,0101,Pop_ReligionChristian,..,..,3377,3639,5118,14565
1,Johor,1,Batu Pahat,0101,Pop_ReligionBuddha,..,..,78549,89968,116380,129831
1,Johor,1,Batu Pahat,0101,Pop_ReligionHindu,..,..,4401,4723,6824,13484
1,Johor,1,Batu Pahat,0101,Pop_ReligionOthers,..,..,20562,11748,3173,5570
