state_code,state_name,census_year,Pop_Total,Pop_GenderMale,Pop_GenderFemale,Pop_CitizenshipCitizen,Pop_CitizenshipNon-citizen,AnnualPopGrowthRate_Average,Pop_EthnicMalay,Pop_EthnicOtherBumi,Pop_EthnicChinese,Pop_EthnicIndian,Pop_EthnicOther,Pop_AgeGroup0014,Pop_AgeGroup1564,Pop_AgeGroup65++,Pop_MaritalNeverMarried,Pop_MaritalMarried,Pop_MaritalWiddowed,Pop_MaritalDivorcedSeparated,Pop_ReligionIslam,Pop_ReligionChristian,Pop_ReligionBuddha,Pop_ReligionHindu,Pop_ReligionOthers,Pop_ReligionNoReligionUnknown,LandAreaKm2,Pop_Density,Pop_StrataUrban,Pop_StrataRural
1,Johor,1970,1277180,641558,635622,1277180,NA,2.5,680976,NA,504207,85798,6199,601494,637291,38395,404359,398293,47189,6089,684651,25437,374997,69961,85883,30865,18984.6,67,336051,941129
1,Johor,1980,1580423,792142,788281,1580423,NA,2.1,877118,NA,598032,102893,2380,639501,881913,59009,551175,525033,52930,8068,876440,22169,317799,87990,256366,8849,18985,83,556836,1023587
1,Johor,1991,2069740,1053260,1016480,2016458,53282,2.5,1026646,10665,705850,134048,139249,740898,1252375,76467,708063,772848,63151,7841,1222648,34074,537198,116457,137450,16173,18986,109,989910,1079830
1,Johor,2000,2584997,1334242,1250755,2462784,122213,2.5,1433713,25867,825002,166749,11453,827980,1655710,101307,630705,1038211,78283,9818,1570832,51153,706403,150488,87987,18134,18987,135,1658115,926882
1,Johor,2010,3230440,1705359,1525081,2968088,262352,2.2,1698472,49773,997590,209260,12993,878511,2179915,172014,870380,1340299,126793,14457,1881147,107204,953626,213109,30831,44523,19210,168,2317692,912748
1,Johor,2020,4009670,2141307,1868363,3690503,319167,2.2,2158417,60757,1208652,244295,18382,959310,2805770,244590,1122758,1766477,113412,46664,2394679,121466,1150804,282717,32352,27652,19165.859999999997,209.2089788822417,3103484,906186
2,Kedah,1970,954947,480643,474304,954947,NA,2.4,673684,NA,184749,81009,15505,421131,504030,29786,267394,342939,42651,6423,676717,7986,160076,71959,31431,4252,9424.9,101,120337,834610
2,Kedah,1980,1077815,531585,546230,1077815,NA,1.2,780830,NA,198955,81350,16680,428549,607385,41881,338204,395789,39850,13495,784215,7289,117557,72328,93434,1138,9425,114,155503,922312
2,Kedah,1991,1302241,642373,659868,1296608,5633,1.7,972345,1491,208809,93413,20550,488199,754239,59803,405043,501175,48251,10840,983000,9546,169549,83997,52035,2528,9426,138,423250,878991
2,Kedah,2000,1571077,780039,791038,1550027,21050,2.1,1193323,2534,224435,108768,20967,544524,949137,77416,321553,636196,58348,10456,1217058,11885,206605,100556,33014,1959,9425,165,608969,962108
2,Kedah,2010,1899751,961460,938291,1834600,65151,1.9,1425743,4045,248772,132766,23274,555861,1226684,117206,445534,804694,81211,12451,1467775,14693,268358,127370,8418,13137,9500,200,1222855,676896
2,Kedah,2020,2131427,1087286,1044141,2038080,93347,1.2,1628169,4587,250600,129055,25669,538838,1424077,168512,476960,910873,78518,20131,1672620,16273,263976,125450,9816,43292,9492,224.54983143699957,1435341,696086
3,Kelantan,1970,684738,339002,345736,684738,NA,2.3,632750,NA,38741,5829,7418,300719,357831,26188,159928,263886,34083,12799,628783,1912,38909,4262,2982,7464,14931.2,46,103250,581488
3,Kelantan,1980,859270,420546,438724,859270,NA,2.3,799340,NA,45331,6201,8398,366403,458056,34811,245892,305713,28642,19828,795649,2009,44262,4618,10752,901,14931,58,241028,618242
